arch	algo	method	proc	object	item	invoke	finish	visibilityPoint	primaryStamp	key
AMD	Treiber	Push	0	x	99	4275745761283	-1	-1	4275745761283	194
AMD	Treiber	Push	0	x	100	4275745761821	-1	-1	4275745761821	195
AMD	Treiber	Push	0	x	98	4275745762341	-1	-1	4275745762341	193
AMD	Treiber	Push	0	x	105	4275745762863	-1	-1	4275745762863	200
AMD	Treiber	Push	0	x	127	4275745763392	-1	-1	4275745763392	222
AMD	Treiber	Push	0	x	106	4275745763836	-1	-1	4275745763836	201
AMD	Treiber	Push	0	x	104	4275745764273	-1	-1	4275745764273	199
AMD	Treiber	Push	0	x	111	4275745764749	-1	-1	4275745764749	206
AMD	Treiber	Push	0	x	133	4275745765193	-1	-1	4275745765193	228
AMD	Treiber	Push	0	x	112	4275745765662	-1	-1	4275745765662	207
AMD	Treiber	Push	0	x	110	4275745766099	-1	-1	4275745766099	205
AMD	Treiber	Push	0	x	139	4275745766550	-1	-1	4275745766550	234
AMD	Treiber	Push	0	x	117	4275745767049	-1	-1	4275745767049	212
AMD	Treiber	Push	0	x	116	4275745767502	-1	-1	4275745767502	211
AMD	Treiber	Push	0	x	118	4275745767939	-1	-1	4275745767939	213
AMD	Treiber	Push	0	x	123	4275745768390	-1	-1	4275745768390	218
AMD	Treiber	Push	0	x	145	4275745768843	-1	-1	4275745768843	240
AMD	Treiber	Push	0	x	124	4275745769296	-1	-1	4275745769296	219
AMD	Treiber	Push	0	x	122	4275745769747	-1	-1	4275745769747	217
AMD	Treiber	Push	0	x	129	4275745770193	-1	-1	4275745770193	224
AMD	Treiber	Push	0	x	151	4275745770637	-1	-1	4275745770637	246
AMD	Treiber	Push	0	x	130	4275745771090	-1	-1	4275745771090	225
AMD	Treiber	Push	0	x	128	4275745771534	-1	-1	4275745771534	223
AMD	Treiber	Push	0	x	135	4275745771994	-1	-1	4275745771994	230
AMD	Treiber	Push	0	x	157	4275745772454	-1	-1	4275745772454	252
AMD	Treiber	Push	0	x	136	4275745772891	-1	-1	4275745772891	231
AMD	Treiber	Push	0	x	134	4275745773512	-1	-1	4275745773512	229
AMD	Treiber	Push	0	x	141	4275745773965	-1	-1	4275745773965	236
AMD	Treiber	Push	0	x	163	4275745774425	-1	-1	4275745774425	258
AMD	Treiber	Push	0	x	140	4275745774885	-1	-1	4275745774885	235
AMD	Treiber	Push	0	x	142	4275745775322	-1	-1	4275745775322	237
AMD	Treiber	Push	0	x	169	4275745775773	-1	-1	4275745775773	264
AMD	Treiber	Push	0	x	147	4275745776210	-1	-1	4275745776210	242
AMD	Treiber	Push	0	x	148	4275745776656	-1	-1	4275745776656	243
AMD	Treiber	Push	0	x	146	4275745777093	-1	-1	4275745777093	241
AMD	Treiber	Push	0	x	175	4275745777567	-1	-1	4275745777567	270
AMD	Treiber	Push	0	x	153	4275745778004	-1	-1	4275745778004	248
AMD	Treiber	Push	0	x	154	4275745778464	-1	-1	4275745778464	249
AMD	Treiber	Push	0	x	152	4275745778901	-1	-1	4275745778901	247
AMD	Treiber	Push	0	x	181	4275745779347	-1	-1	4275745779347	276
AMD	Treiber	Push	0	x	159	4275745779798	-1	-1	4275745779798	254
AMD	Treiber	Push	0	x	158	4275745780244	-1	-1	4275745780244	253
AMD	Treiber	Push	0	x	160	4275745780695	-1	-1	4275745780695	255
AMD	Treiber	Push	0	x	187	4275745781148	-1	-1	4275745781148	282
AMD	Treiber	Push	0	x	165	4275745781592	-1	-1	4275745781592	260
AMD	Treiber	Push	0	x	164	4275745782045	-1	-1	4275745782045	259
AMD	Treiber	Push	0	x	166	4275745782498	-1	-1	4275745782498	261
AMD	Treiber	Pop	0	x	166	4275745782958	-1	-1	-1	288
AMD	Treiber	Push	0	x	171	4275745783563	-1	-1	4275745783563	266
AMD	Treiber	Push	0	x	170	4275745784108	-1	-1	4275745784108	265
AMD	Treiber	Push	0	x	172	4275745784575	-1	-1	4275745784575	267
AMD	Treiber	Push	0	x	177	4275745785051	-1	-1	4275745785051	272
AMD	Treiber	Pop	0	x	177	4275745785502	-1	-1	-1	294
AMD	Treiber	Push	0	x	176	4275745786109	-1	-1	4275745786109	271
AMD	Treiber	Push	0	x	178	4275745786645	-1	-1	4275745786645	273
AMD	Treiber	Push	0	x	183	4275745787135	-1	-1	4275745787135	278
AMD	Treiber	Pop	0	x	183	4275745787772	-1	-1	-1	300
