arch	algo	method	proc	object	item	invoke	finish	visibilityPoint	primaryStamp	key
AMD	Treiber	Push	2	x	135	4275739830834	-1	-1	4275739830834	230
AMD	Treiber	Push	0	x	157	4275739831147	-1	-1	4275739831147	252
AMD	Treiber	Push	3	x	136	4275739831768	-1	-1	4275739831768	231
AMD	Treiber	Push	1	x	134	4275739831961	-1	-1	4275739831961	229
AMD	Treiber	Push	2	x	141	4275739832543	-1	-1	4275739832543	236
AMD	Treiber	Push	0	x	163	4275739832957	-1	-1	4275739832957	258
AMD	Treiber	Push	1	x	140	4275739833486	-1	-1	4275739833486	235
AMD	Treiber	Push	3	x	142	4275739833847	-1	-1	4275739833847	237
AMD	Treiber	Push	0	x	169	4275739834590	-1	-1	4275739834590	264
AMD	Treiber	Push	2	x	147	4275739834843	-1	-1	4275739834843	242
AMD	Treiber	Push	3	x	148	4275739835441	-1	-1	4275739835441	243
AMD	Treiber	Push	1	x	146	4275739835747	-1	-1	4275739835747	241
AMD	Treiber	Push	0	x	175	4275739836368	-1	-1	4275739836368	270
AMD	Treiber	Push	2	x	153	4275739836469	-1	-1	4275739836469	248
AMD	Treiber	Push	3	x	154	4275739837182	-1	-1	4275739837182	249
AMD	Treiber	Push	1	x	152	4275739837442	-1	-1	4275739837442	247
AMD	Treiber	Push	0	x	181	4275739838086	-1	-1	4275739838086	276
AMD	Treiber	Push	2	x	159	4275739838300	-1	-1	4275739838300	254
AMD	Treiber	Push	1	x	158	4275739838953	-1	-1	4275739838953	253
AMD	Treiber	Push	3	x	160	4275739839183	-1	-1	4275739839183	255
AMD	Treiber	Push	0	x	187	4275739839804	-1	-1	4275739839804	282
AMD	Treiber	Push	2	x	165	4275739840071	-1	-1	4275739840071	260
AMD	Treiber	Push	1	x	164	4275739840655	-1	-1	4275739840655	259
AMD	Treiber	Push	3	x	166	4275739840869	-1	-1	4275739840869	261
AMD	Treiber	Pop	0	x	171	4275739841520	-1	-1	-1	288
AMD	Treiber	Push	2	x	171	4275739841681	-1	-1	4275739841681	266
AMD	Treiber	Push	1	x	170	4275739842433	-1	-1	4275739842433	265
AMD	Treiber	Push	3	x	172	4275739842555	-1	-1	4275739842555	267
AMD	Treiber	Push	2	x	177	4275739843268	-1	-1	4275739843268	272
AMD	Treiber	Pop	0	x	177	4275739843682	-1	-1	-1	294
AMD	Treiber	Push	1	x	176	4275739844096	-1	-1	4275739844096	271
AMD	Treiber	Push	3	x	178	4275739844457	-1	-1	4275739844457	273
AMD	Treiber	Push	2	x	183	4275739844871	-1	-1	4275739844871	278
AMD	Treiber	Pop	0	x	183	4275739845561	-1	-1	-1	300
AMD	Treiber	Push	3	x	184	4275739845982	-1	-1	4275739845982	279
AMD	Treiber	Push	2	x	189	4275739846589	-1	-1	4275739846589	284
AMD	Treiber	Pop	0	x	189	4275739847079	-1	-1	-1	306
AMD	Treiber	Push	3	x	190	4275739847546	-1	-1	4275739847546	285
AMD	Treiber	Push	1	x	182	4275739847923	-1	-1	4275739847923	277
AMD	Treiber	Pop	2	x	182	4275739848620	-1	-1	-1	290
AMD	Treiber	Pop	0	x	190	4275739848949	-1	-1	-1	312
AMD	Treiber	Push	1	x	188	4275739849570	-1	-1	4275739849570	283
AMD	Treiber	Pop	3	x	176	4275739850138	-1	-1	-1	291
AMD	Treiber	Pop	0	x	184	4275739850697	-1	-1	-1	318
AMD	Treiber	Pop	2	x	188	4275739851272	-1	-1	-1	296
AMD	Treiber	Pop	3	x	178	4275739851778	-1	-1	-1	297
AMD	Treiber	Pop	1	x	172	4275739852001	-1	-1	-1	289
AMD	Treiber	Pop	2	x	166	4275739852928	-1	-1	-1	302
AMD	Treiber	Pop	0	x	170	4275739853204	-1	-1	-1	324
AMD	Treiber	Pop	3	x	165	4275739853871	-1	-1	-1	303
AMD	Treiber	Pop	1	x	164	4275739854248	-1	-1	-1	295
AMD	Treiber	Pop	0	x	181	4275739855037	-1	-1	-1	330
AMD	Treiber	Pop	2	x	187	4275739855343	-1	-1	-1	308
AMD	Treiber	Pop	1	x	160	4275739855780	-1	-1	-1	301
AMD	Treiber	Pop	3	x	158	4275739856371	-1	-1	-1	309
AMD	Treiber	Pop	2	x	159	4275739856893	-1	-1	-1	314
AMD	Treiber	Pop	1	x	152	4275739857344	-1	-1	-1	307
AMD	Treiber	Pop	3	x	154	4275739858011	-1	-1	-1	315
AMD	Treiber	Pop	2	x	175	4275739858740	-1	-1	-1	320
